期货名称,期货代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
IC主力合约,060130,2024-09-30 09:35,5631.0,5674.4,5770.0,5615.0,13188,15026888584.0,2.89,5.74,308.2,0.0
IC主力合约,060130,2024-09-30 09:40,5680.2,5540.4,5680.2,5530.2,7679,8622155856.0,2.64,-2.36,-134.0,0.0
IC主力合约,060130,2024-09-30 09:45,5532.2,5535.0,5573.8,5483.8,6578,7283430432.0,1.62,-0.1,-5.4,0.0
IC主力合约,060130,2024-09-30 09:50,5534.4,5507.0,5557.0,5477.4,4374,4823111056.0,1.44,-0.51,-28.0,0.0
IC主力合约,060130,2024-09-30 09:55,5507.8,5541.2,5545.6,5451.0,5313,5830753664.0,1.72,0.62,34.2,0.0
IC主力合约,060130,2024-09-30 10:00,5541.2,5539.8,5554.8,5504.6,3658,4044614768.0,0.91,-0.03,-1.4,0.0
IC主力合约,060130,2024-09-30 10:05,5537.8,5552.8,5569.2,5505.0,3398,3765643376.0,1.16,0.23,13.0,0.0
IC主力合约,060130,2024-09-30 10:10,5552.4,5546.6,5571.0,5539.8,2358,2620015584.0,0.56,-0.11,-6.2,0.0
IC主力合约,060130,2024-09-30 10:15,5546.6,5547.0,5564.4,5525.2,2136,2367255584.0,0.71,0.01,0.4,0.0
IC主力合约,060130,2024-09-30 10:20,5548.6,5585.6,5586.4,5537.6,2123,2360086784.0,0.88,0.7,38.6,0.0
IC主力合约,060130,2024-09-30 10:25,5584.6,5605.4,5614.2,5580.4,2883,3229224176.0,0.61,0.35,19.8,0.0
IC主力合约,060130,2024-09-30 10:30,5605.4,5623.0,5644.4,5605.4,2584,2906689344.0,0.7,0.31,17.6,0.0
IC主力合约,060130,2024-09-30 10:35,5623.0,5600.0,5628.8,5572.0,2938,3286980096.0,1.01,-0.41,-23.0,0.0
IC主力合约,060130,2024-09-30 10:40,5603.4,5593.8,5620.0,5581.0,1983,2222140272.0,0.7,-0.11,-6.2,0.0
IC主力合约,060130,2024-09-30 10:45,5598.6,5619.8,5637.0,5588.8,1904,2139653856.0,0.86,0.46,26.0,0.0
IC主力合约,060130,2024-09-30 10:50,5616.8,5664.0,5670.6,5611.6,2277,2572484096.0,1.05,0.79,44.2,0.0
IC主力合约,060130,2024-09-30 10:55,5664.2,5710.4,5735.0,5661.6,2635,3001561504.0,1.3,0.82,46.4,0.0
IC主力合约,060130,2024-09-30 11:00,5707.2,5721.8,5732.0,5684.8,2138,2441525824.0,0.83,0.2,11.4,0.0
IC主力合约,060130,2024-09-30 11:05,5722.0,5666.2,5738.0,5661.4,2497,2846590608.0,1.34,-0.97,-55.6,0.0
IC主力合约,060130,2024-09-30 11:10,5666.2,5691.6,5700.0,5618.0,2920,3305907728.0,1.45,0.45,25.4,0.0
IC主力合约,060130,2024-09-30 11:15,5690.8,5705.8,5717.0,5673.4,1795,2045155584.0,0.77,0.25,14.2,0.0
IC主力合约,060130,2024-09-30 11:20,5705.8,5735.4,5745.4,5696.0,1655,1894020704.0,0.87,0.52,29.6,0.0
IC主力合约,060130,2024-09-30 11:25,5734.0,5736.2,5746.4,5696.0,1819,2082732448.0,0.88,0.01,0.8,0.0
IC主力合约,060130,2024-09-30 11:30,5738.8,5788.0,5788.0,5730.8,2307,2658918152.0,1.0,0.9,51.8,0.0
IC主力合约,060130,2024-09-30 13:05,5788.8,5802.6,5840.0,5760.4,4784,5557160864.0,1.38,0.25,14.6,0.0
IC主力合约,060130,2024-09-30 13:10,5801.4,5855.2,5858.0,5801.4,2567,2993615376.0,0.98,0.91,52.6,0.0
IC主力合约,060130,2024-09-30 13:15,5853.0,5771.4,5873.0,5771.4,3340,3888822288.0,1.74,-1.43,-83.8,0.0
IC主力合约,060130,2024-09-30 13:20,5771.4,5821.2,5835.4,5771.4,2370,2751994416.0,1.11,0.86,49.8,0.0
IC主力合约,060130,2024-09-30 13:25,5821.2,5851.8,5857.0,5803.0,2114,2466693104.0,0.93,0.53,30.6,0.0
IC主力合约,060130,2024-09-30 13:30,5851.8,5862.0,5870.4,5837.8,1776,2078897744.0,0.56,0.17,10.2,0.0
IC主力合约,060130,2024-09-30 13:35,5863.0,5877.0,5879.8,5856.0,1914,2247394496.0,0.41,0.26,15.0,0.0
IC主力合约,060130,2024-09-30 13:40,5877.0,5896.0,5897.4,5874.0,1661,1955389032.0,0.4,0.32,19.0,0.0
IC主力合约,060130,2024-09-30 13:45,5895.8,5902.8,5902.8,5893.2,2518,2971053328.0,0.16,0.12,6.8,0.0
IC主力合约,060130,2024-09-30 13:50,5902.8,5902.8,5902.8,5902.8,852,1005837120.0,0.0,0.0,0.0,0.0
IC主力合约,060130,2024-09-30 13:55,5902.8,5902.8,5902.8,5902.8,189,223125840.0,0.0,0.0,0.0,0.0
IC主力合约,060130,2024-09-30 14:00,5902.8,5902.8,5902.8,5902.8,129,152292240.0,0.0,0.0,0.0,0.0
IC主力合约,060130,2024-09-30 14:05,5902.8,5902.8,5902.8,5902.8,212,250278720.0,0.0,0.0,0.0,0.0
IC主力合约,060130,2024-09-30 14:10,5902.8,5902.8,5902.8,5902.8,193,227848080.0,0.0,0.0,0.0,0.0
IC主力合约,060130,2024-09-30 14:15,5902.8,5902.8,5902.8,5902.8,142,167639520.0,0.0,0.0,0.0,0.0
IC主力合约,060130,2024-09-30 14:20,5902.8,5902.8,5902.8,5902.8,339,400209840.0,0.0,0.0,0.0,0.0
IC主力合约,060130,2024-09-30 14:25,5902.8,5881.8,5902.8,5859.8,5213,6141206352.0,0.73,-0.36,-21.0,0.0
IC主力合约,060130,2024-09-30 14:30,5882.8,5891.2,5902.8,5852.0,2786,3279630336.0,0.86,0.16,9.4,0.0
IC主力合约,060130,2024-09-30 14:35,5893.8,5902.8,5902.8,5888.0,1359,1602577576.0,0.25,0.2,11.6,0.0
IC主力合约,060130,2024-09-30 14:40,5902.8,5902.8,5902.8,5902.8,298,351806880.0,0.0,0.0,0.0,0.0
IC主力合约,060130,2024-09-30 14:45,5902.8,5902.8,5902.8,5902.8,532,628057920.0,0.0,0.0,0.0,0.0
IC主力合约,060130,2024-09-30 14:50,5902.8,5902.8,5902.8,5902.0,938,1107354656.0,0.01,0.0,0.0,0.0
IC主力合约,060130,2024-09-30 14:55,5902.8,5902.8,5902.8,5902.8,387,456876720.0,0.0,0.0,0.0,0.0
IC主力合约,060130,2024-09-30 15:00,5902.8,5902.8,5902.8,5902.4,1233,1455627488.0,0.01,0.0,0.0,0.0
IC主力合约,060130,2024-10-08 09:35,6483.0,6423.4,6483.0,6420.2,10069,13043324336.0,1.06,8.82,520.6,0.0
IC主力合约,060130,2024-10-08 09:40,6424.2,6326.4,6457.2,6325.2,7782,9975579024.0,2.05,-1.51,-97.0,0.0
IC主力合约,060130,2024-10-08 09:45,6326.4,6342.8,6444.4,6324.0,7799,9947765040.0,1.9,0.26,16.4,0.0
IC主力合约,060130,2024-10-08 09:50,6340.2,6389.6,6435.6,6327.0,5370,6856671216.0,1.71,0.74,46.8,0.0
IC主力合约,060130,2024-10-08 09:55,6389.6,6398.4,6417.8,6370.0,3058,3909915680.0,0.75,0.14,8.8,0.0
IC主力合约,060130,2024-10-08 10:00,6398.4,6393.8,6415.0,6389.8,1956,2503935616.0,0.39,-0.07,-4.6,0.0
IC主力合约,060130,2024-10-08 10:05,6393.8,6353.4,6404.4,6350.0,2451,3126938032.0,0.85,-0.63,-40.4,0.0
IC主力合约,060130,2024-10-08 10:10,6350.2,6323.6,6357.4,6285.0,3918,4957185344.0,1.14,-0.47,-29.8,0.0
IC主力合约,060130,2024-10-08 10:15,6320.6,6164.0,6321.6,6163.4,5161,6448719056.0,2.5,-2.52,-159.6,0.0
IC主力合约,060130,2024-10-08 10:20,6163.8,6319.8,6319.8,6161.0,4403,5517599968.0,2.58,2.53,155.8,0.0
IC主力合约,060130,2024-10-08 10:25,6320.0,6199.6,6320.2,6189.8,3789,4732936656.0,2.06,-1.9,-120.2,0.0
IC主力合约,060130,2024-10-08 10:30,6199.8,6166.2,6245.6,6154.0,3332,4129554464.0,1.48,-0.54,-33.4,0.0
IC主力合约,060130,2024-10-08 10:35,6169.4,6090.0,6188.2,6068.0,4559,5576522048.0,1.95,-1.24,-76.2,0.0
IC主力合约,060130,2024-10-08 10:40,6093.0,6067.0,6094.6,5876.0,7929,9497378784.0,3.59,-0.38,-23.0,0.0
IC主力合约,060130,2024-10-08 10:45,6071.2,6185.0,6195.8,6071.2,4576,5603919504.0,2.05,1.94,118.0,0.0
IC主力合约,060130,2024-10-08 10:50,6185.0,6100.8,6198.0,6091.0,3598,4416692704.0,1.73,-1.36,-84.2,0.0
IC主力合约,060130,2024-10-08 10:55,6101.2,6051.2,6131.8,6033.0,2995,3649141376.0,1.62,-0.81,-49.6,0.0
IC主力合约,060130,2024-10-08 11:00,6050.8,6032.8,6096.8,6028.0,2387,2896666992.0,1.14,-0.3,-18.4,0.0
IC主力合约,060130,2024-10-08 11:05,6031.6,6147.6,6152.0,6026.2,2399,2930947776.0,2.09,1.9,114.8,0.0
IC主力合约,060130,2024-10-08 11:10,6148.8,6186.6,6208.0,6143.6,2728,3374842576.0,1.05,0.63,39.0,0.0
IC主力合约,060130,2024-10-08 11:15,6182.8,6198.6,6198.6,6141.8,2270,2802149344.0,0.92,0.19,12.0,0.0
IC主力合约,060130,2024-10-08 11:20,6198.6,6266.0,6320.0,6186.6,4350,5455858496.0,2.15,1.09,67.4,0.0
IC主力合约,060130,2024-10-08 11:25,6265.8,6224.2,6281.8,6209.8,2149,2683991216.0,1.15,-0.67,-41.8,0.0
IC主力合约,060130,2024-10-08 11:30,6222.8,6240.8,6242.8,6145.0,2068,2569938976.0,1.57,0.27,16.6,0.0
IC主力合约,060130,2024-10-08 13:05,6245.0,6191.0,6277.0,6191.0,2365,2955215024.0,1.38,-0.8,-49.8,0.0
IC主力合约,060130,2024-10-08 13:10,6191.8,6140.0,6200.0,6100.0,3273,4029158544.0,1.62,-0.82,-51.0,0.0
IC主力合约,060130,2024-10-08 13:15,6130.8,6120.4,6165.2,6115.4,2083,2556171536.0,0.81,-0.32,-19.6,0.0
IC主力合约,060130,2024-10-08 13:20,6123.6,6134.8,6180.0,6120.8,1563,1922242752.0,0.97,0.24,14.4,0.0
IC主力合约,060130,2024-10-08 13:25,6137.6,6054.0,6138.0,6052.0,2284,2782634896.0,1.4,-1.32,-80.8,0.0
IC主力合约,060130,2024-10-08 13:30,6051.0,6101.8,6110.0,6042.2,2631,3195216416.0,1.12,0.79,47.8,0.0
IC主力合约,060130,2024-10-08 13:35,6103.6,6053.0,6127.0,6047.0,1837,2234231024.0,1.31,-0.8,-48.8,0.0
IC主力合约,060130,2024-10-08 13:40,6052.4,6011.0,6064.0,6008.2,2613,3153440896.0,0.92,-0.69,-42.0,0.0
IC主力合约,060130,2024-10-08 13:45,6013.8,6064.2,6064.2,6006.4,1773,2141729472.0,0.96,0.89,53.2,0.0
IC主力合约,060130,2024-10-08 13:50,6065.0,6000.8,6068.0,5993.6,2300,2768203376.0,1.23,-1.05,-63.4,0.0
IC主力合约,060130,2024-10-08 13:55,6000.0,5967.6,6036.6,5966.0,2107,2528776672.0,1.18,-0.55,-33.2,0.0
IC主力合约,060130,2024-10-08 14:00,5968.0,6061.8,6079.0,5968.0,1997,2403337296.0,1.86,1.58,94.2,0.0
IC主力合约,060130,2024-10-08 14:05,6061.8,6064.2,6093.0,6055.0,1761,2139617296.0,0.63,0.04,2.4,0.0
IC主力合约,060130,2024-10-08 14:10,6060.6,6025.0,6067.4,6017.0,1461,1765763936.0,0.83,-0.65,-39.2,0.0
IC主力合约,060130,2024-10-08 14:15,6023.0,6065.6,6066.8,6023.0,1250,1511240160.0,0.73,0.67,40.6,0.0
IC主力合约,060130,2024-10-08 14:20,6065.6,6057.0,6087.0,6035.0,1085,1316397776.0,0.86,-0.14,-8.6,0.0
IC主力合约,060130,2024-10-08 14:25,6055.0,6095.4,6104.8,6053.0,1051,1279881128.0,0.86,0.63,38.4,0.0
IC主力合约,060130,2024-10-08 14:30,6098.0,6156.8,6166.8,6098.0,2012,2471634784.0,1.13,1.01,61.4,0.0
IC主力合约,060130,2024-10-08 14:35,6156.4,6134.2,6194.8,6131.2,2065,2546252528.0,1.03,-0.37,-22.6,0.0
IC主力合约,060130,2024-10-08 14:40,6135.0,6152.0,6180.6,6135.0,2106,2593544848.0,0.74,0.29,17.8,0.0
IC主力合约,060130,2024-10-08 14:45,6152.0,6132.0,6156.0,6103.0,2500,3062692736.0,0.86,-0.33,-20.0,0.0
IC主力合约,060130,2024-10-08 14:50,6132.2,6113.0,6136.8,6105.6,2276,2787147632.0,0.51,-0.31,-19.0,0.0
IC主力合约,060130,2024-10-08 14:55,6113.2,6105.4,6116.6,6082.0,3386,4128928304.0,0.57,-0.12,-7.6,0.0
IC主力合约,060130,2024-10-08 15:00,6105.6,6098.2,6123.0,6097.0,3343,4086395568.0,0.43,-0.12,-7.2,0.0
IC主力合约,060130,2024-10-09 09:35,6013.0,6008.4,6037.8,5896.0,11195,13348972088.0,2.33,-1.47,-89.8,0.0
IC主力合约,060130,2024-10-09 09:40,6012.6,5977.8,6036.8,5947.4,6008,7208703504.0,1.49,-0.51,-30.6,0.0
IC主力合约,060130,2024-10-09 09:45,5975.2,6009.2,6024.4,5957.4,4133,4959543744.0,1.12,0.53,31.4,0.0
IC主力合约,060130,2024-10-09 09:50,6009.8,6090.0,6100.0,6009.2,4633,5618330544.0,1.51,1.34,80.8,0.0
IC主力合约,060130,2024-10-09 09:55,6090.0,6056.4,6108.2,6052.8,3293,4008104128.0,0.91,-0.55,-33.6,0.0
IC主力合约,060130,2024-10-09 10:00,6056.6,6015.2,6075.8,6005.0,2850,3439614864.0,1.17,-0.68,-41.2,0.0
IC主力合约,060130,2024-10-09 10:05,6014.2,5999.2,6016.4,5953.4,3408,4082002784.0,1.05,-0.27,-16.0,0.0
IC主力合约,060130,2024-10-09 10:10,6001.2,5922.8,6002.0,5911.0,3565,4243044624.0,1.52,-1.27,-76.4,0.0
IC主力合约,060130,2024-10-09 10:15,5922.0,5969.6,5972.2,5917.6,3110,3698890784.0,0.92,0.79,46.8,0.0
