期货名称,期货代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
IC主力合约,060130,2015-04-16,7681.0,7707.8,7790.0,7480.2,116888,179285880832.0,0.0,0.0,0.0,0.0
IC主力合约,060130,2015-04-17,7722.0,7758.2,7918.8,7631.2,114214,178139983872.0,3.76,1.51,115.4,0.0
IC主力合约,060130,2015-04-20,7760.0,7622.2,7857.0,7582.0,98781,152541609984.0,3.52,-2.32,-181.2,0.0
IC主力合约,060130,2015-04-21,7650.2,8140.4,8147.0,7640.2,132545,209375256576.0,6.65,6.81,519.2,0.0
IC主力合约,060130,2015-04-22,8158.0,8189.8,8237.8,8104.4,121034,197636853760.0,1.66,1.67,134.2,0.0
IC主力合约,060130,2015-04-23,8193.0,8265.6,8378.8,8160.4,132278,218536390656.0,2.66,0.83,68.4,0.0
IC主力合约,060130,2015-04-24,8247.8,8327.2,8349.8,8123.8,126381,207787786240.0,2.73,0.74,60.8,0.0
IC主力合约,060130,2015-04-27,8368.0,8347.2,8548.0,8292.0,125335,210563657728.0,3.08,0.48,39.6,0.0
IC主力合约,060130,2015-04-28,8308.0,8147.0,8419.0,8011.6,164120,268923736064.0,4.87,-2.57,-214.6,0.0
IC主力合约,060130,2015-04-29,8138.0,8302.2,8309.0,8079.0,134158,220606451712.0,2.84,2.66,214.8,0.0
IC主力合约,060130,2015-04-30,8320.0,8338.8,8408.0,8291.2,120118,200660176896.0,1.41,0.76,62.6,0.0
IC主力合约,060130,2015-05-04,8370.2,8347.2,8527.4,8202.4,101734,169082351616.0,3.89,-0.1,-8.2,0.0
IC主力合约,060130,2015-05-05,8334.8,8145.0,8345.0,8090.0,109987,180812001280.0,3.06,-2.13,-177.4,0.0
IC主力合约,060130,2015-05-06,8168.0,8040.8,8280.6,7970.0,111973,183095508992.0,3.82,-1.21,-98.4,0.0
IC主力合约,060130,2015-05-07,8020.0,7911.4,8068.0,7901.0,109599,174604152832.0,2.07,-1.82,-147.0,0.0
IC主力合约,060130,2015-05-08,7933.4,8171.2,8171.4,7921.0,121062,194368512000.0,3.16,3.06,242.6,0.0
IC主力合约,060130,2015-05-11,8170.0,8489.8,8508.0,8144.0,124722,207429898240.0,4.49,4.77,386.8,0.0
IC主力合约,060130,2015-05-12,8499.6,8647.8,8648.0,8415.4,152019,259104362496.0,2.76,2.43,205.2,0.0
IC主力合约,060130,2015-05-13,8595.0,8695.8,8779.0,8492.0,189658,328366948352.0,3.34,1.14,98.2,0.0
IC主力合约,060130,2015-05-14,8689.0,8760.4,8813.6,8645.2,112711,196941815808.0,1.94,0.8,69.6,0.0
IC主力合约,060130,2015-05-15,8610.0,8579.8,8718.0,8482.0,182662,313491337216.0,2.7,-1.99,-174.4,0.0
IC主力合约,060130,2015-05-18,8640.6,8798.4,8822.2,8580.0,202968,355194138624.0,2.8,1.7,147.0,0.0
IC主力合约,060130,2015-05-19,8805.6,9120.8,9154.4,8736.2,228488,408246632448.0,4.75,3.68,323.8,0.0
IC主力合约,060130,2015-05-20,9121.8,9286.8,9463.6,9111.2,239847,447554662400.0,3.87,2.03,184.6,0.0
IC主力合约,060130,2015-05-21,9311.4,9734.6,9755.0,9301.0,256460,487549059072.0,4.88,4.54,423.2,0.0
IC主力合约,060130,2015-05-22,9783.0,9741.2,9867.4,9525.0,285617,553436540928.0,3.56,1.15,111.2,0.0
IC主力合约,060130,2015-05-25,9610.0,9966.6,10020.8,9455.4,262755,517357879296.0,5.8,2.32,226.4,0.0
IC主力合约,060130,2015-05-26,9988.0,10532.2,10535.0,9986.2,258963,532569378816.0,5.5,5.54,552.8,0.0
IC主力合约,060130,2015-05-27,10598.4,10552.0,10718.0,10366.0,307346,646888964096.0,3.38,1.39,144.6,0.0
IC主力合约,060130,2015-05-28,10580.0,9977.2,10758.8,9818.0,360766,751494893568.0,8.86,-6.07,-644.2,0.0
IC主力合约,060130,2015-05-29,10126.8,10121.0,10370.0,9901.0,354628,720489181184.0,4.63,-0.06,-5.8,0.0
IC主力合约,060130,2015-06-01,10170.2,11025.6,11089.8,10168.0,257035,544543698944.0,9.1,8.87,898.6,0.0
IC主力合约,060130,2015-06-02,11058.0,11250.4,11385.0,10830.0,280807,622873391104.0,5.11,3.54,384.6,0.0
