期货名称,期货代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
IF主力合约,040130,2011-10-24,2585.4,2620.2,2638.2,2553.2,300,232358944.0,0.0,0.0,0.0,0.0
IF主力合约,040130,2011-10-25,2623.6,2665.6,2679.6,2607.2,204,161516032.0,2.76,1.58,41.4,0.0
IF主力合约,040130,2011-10-26,2665.0,2707.8,2719.6,2665.0,237,190639328.0,2.05,1.48,39.6,0.0
IF主力合约,040130,2011-10-27,2708.6,2713.4,2718.6,2698.0,151,122566736.0,0.76,0.29,7.8,0.0
IF主力合约,040130,2011-10-28,2736.6,2742.2,2781.0,2731.2,163,134457296.0,1.84,1.39,37.6,0.0
IF主力合约,040130,2011-10-31,2740.0,2735.0,2749.6,2721.2,261,214455296.0,1.03,-0.48,-13.2,0.0
IF主力合约,040130,2011-11-01,2724.2,2730.4,2774.8,2720.0,184,151370816.0,2.0,-0.19,-5.2,0.0
IF主力合约,040130,2011-11-02,2700.0,2818.0,2818.0,2700.0,238,196897792.0,4.31,3.0,82.2,0.0
IF主力合约,040130,2011-11-03,2818.6,2793.2,2829.6,2790.0,542,457410432.0,1.42,0.12,3.4,0.0
IF主力合约,040130,2011-11-04,2808.0,2816.8,2837.6,2803.8,246,208227296.0,1.21,0.58,16.2,0.0
IF主力合约,040130,2011-11-07,2806.0,2795.6,2819.6,2790.0,264,221488016.0,1.05,-0.68,-19.0,0.0
IF主力合约,040130,2011-11-08,2793.6,2780.0,2809.4,2774.0,134,112089720.0,1.27,-0.47,-13.2,0.0
IF主力合约,040130,2011-11-09,2796.0,2793.2,2808.0,2759.8,157,131153400.0,1.73,0.45,12.6,0.0
IF主力合约,040130,2011-11-10,2753.6,2748.0,2775.6,2746.2,124,102686464.0,1.05,-1.48,-41.2,0.0
IF主力合约,040130,2011-11-11,2756.8,2742.0,2765.0,2738.8,100,82590064.0,0.95,-0.38,-10.4,0.0
IF主力合约,040130,2011-11-14,2768.8,2801.0,2811.0,2765.4,195,163221360.0,1.66,2.03,55.6,0.0
IF主力合约,040130,2011-11-15,2790.0,2787.2,2801.8,2784.0,291,244003744.0,0.64,-0.39,-11.0,0.0
IF主力合约,040130,2011-11-16,2794.0,2719.6,2794.0,2704.8,338,278409888.0,3.2,-2.46,-68.6,0.0
IF主力合约,040130,2011-11-17,2723.4,2717.0,2733.0,2709.8,149,121630384.0,0.86,0.27,7.4,0.0
IF主力合约,040130,2011-11-18,2700.0,2655.6,2700.0,2646.6,396,317051328.0,1.97,-2.25,-61.0,0.0
IF主力合约,040130,2011-11-21,2657.2,2651.2,2659.0,2638.0,98,77872144.0,0.79,-0.25,-6.6,0.0
