期货名称,期货代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
IH主力合约,070130,2015-04-16,3100.0,3283.8,3288.2,3088.8,144423,137728663552.0,0.0,0.0,0.0,0.0
IH主力合约,070130,2015-04-17,3303.6,3254.0,3341.6,3238.0,271224,267552071680.0,3.21,0.94,30.4,0.0
IH主力合约,070130,2015-04-20,3258.0,3146.8,3315.0,3143.6,267213,260529434624.0,5.22,-4.08,-134.0,0.0
IH主力合约,070130,2015-04-21,3176.8,3234.0,3242.2,3153.0,239311,229320093696.0,2.81,1.8,57.2,0.0
IH主力合约,070130,2015-04-22,3250.0,3308.0,3333.2,3229.8,239676,235475714048.0,3.22,3.01,96.8,0.0
IH主力合约,070130,2015-04-23,3318.6,3267.8,3348.2,3253.4,246929,244348149760.0,2.86,-1.26,-41.8,0.0
IH主力合约,070130,2015-04-24,3248.8,3233.0,3267.8,3170.0,224297,217010196480.0,2.99,-1.23,-40.2,0.0
IH主力合约,070130,2015-04-27,3260.0,3357.6,3358.0,3257.8,259172,256955109376.0,3.1,3.74,121.0,0.0
IH主力合约,070130,2015-04-28,3339.0,3286.8,3376.0,3265.0,329692,327774720000.0,3.34,-1.19,-39.6,0.0
IH主力合约,070130,2015-04-29,3282.0,3295.2,3325.6,3261.0,242567,239786655744.0,1.97,0.25,8.2,0.0
IH主力合约,070130,2015-04-30,3315.2,3269.4,3331.2,3247.2,202408,200023306240.0,2.54,-0.98,-32.2,0.0
IH主力合约,070130,2015-05-04,3295.8,3273.2,3301.8,3225.8,189061,185146007552.0,2.32,-0.07,-2.2,0.0
IH主力合约,070130,2015-05-05,3279.6,3163.0,3281.6,3141.2,217674,210023333888.0,4.29,-3.25,-106.4,0.0
IH主力合约,070130,2015-05-06,3171.2,3153.0,3257.4,3116.0,261933,251113054208.0,4.47,-0.4,-12.8,0.0
IH主力合约,070130,2015-05-07,3159.6,3111.2,3170.0,3103.0,234619,220961865728.0,2.13,-1.2,-37.8,0.0
IH主力合约,070130,2015-05-08,3131.0,3099.8,3149.0,3051.2,215483,200658501632.0,3.13,-0.91,-28.6,0.0
IH主力合约,070130,2015-05-11,3112.0,3160.0,3170.4,3078.0,201465,188934832128.0,2.98,1.96,60.8,0.0
IH主力合约,070130,2015-05-12,3151.0,3175.0,3194.6,3138.0,189729,180330065920.0,1.79,0.45,14.2,0.0
IH主力合约,070130,2015-05-13,3200.0,3125.4,3204.8,3112.4,165986,157229486080.0,2.91,-1.51,-48.0,0.0
IH主力合约,070130,2015-05-14,3131.2,3129.4,3158.4,3108.0,106178,99736571904.0,1.61,0.0,0.0,0.0
IH主力合约,070130,2015-05-15,3115.2,3041.4,3129.8,3021.0,202862,187139215360.0,3.48,-2.68,-83.8,0.0
IH主力合约,070130,2015-05-18,3033.6,2969.4,3049.0,2962.0,177652,160675913728.0,2.83,-3.52,-108.2,0.0
IH主力合约,070130,2015-05-19,2973.4,3143.0,3145.6,2971.2,295536,273278808064.0,5.85,5.36,160.0,0.0
IH主力合约,070130,2015-05-20,3163.0,3145.2,3217.0,3102.2,288447,273041502208.0,3.69,1.02,31.8,0.0
IH主力合约,070130,2015-05-21,3157.0,3191.4,3200.2,3139.8,259112,246253465600.0,1.91,1.09,34.4,0.0
IH主力合约,070130,2015-05-22,3200.0,3303.0,3310.0,3194.0,323497,316097236992.0,3.65,4.02,127.6,0.0
IH主力合约,070130,2015-05-25,3298.6,3413.6,3435.4,3280.0,294392,297241051136.0,4.75,4.24,139.0,0.0
IH主力合约,070130,2015-05-26,3426.0,3417.8,3458.0,3377.8,346109,355529490432.0,2.36,0.39,13.2,0.0
IH主力合约,070130,2015-05-27,3453.8,3396.8,3507.0,3351.8,342601,351430955008.0,4.52,-0.98,-33.6,0.0
IH主力合约,070130,2015-05-28,3411.6,3164.6,3419.0,3121.2,385437,381146693632.0,8.79,-6.62,-224.2,0.0
IH主力合约,070130,2015-05-29,3179.4,3118.6,3194.8,3060.6,371616,350518571008.0,4.21,-2.21,-70.6,0.0
IH主力合约,070130,2015-06-01,3100.0,3336.0,3340.4,3086.6,344357,333048889344.0,8.16,7.29,226.8,0.0
IH主力合约,070130,2015-06-02,3340.0,3295.6,3349.2,3220.4,356277,351055683584.0,3.89,-0.56,-18.6,0.0
IH主力合约,070130,2015-06-03,3296.6,3244.8,3336.0,3210.2,411425,403790286848.0,3.81,-1.77,-58.4,0.0
IH主力合约,070130,2015-06-04,3258.8,3373.2,3395.8,3021.2,535862,524572028928.0,11.45,3.13,102.4,0.0
IH主力合约,070130,2015-06-05,3369.0,3304.8,3426.2,3203.0,473292,472055115776.0,6.78,0.45,14.8,0.0
IH主力合约,070130,2015-06-08,3315.0,3535.0,3543.0,3285.0,474019,488105054208.0,7.79,6.8,225.0,0.0
IH主力合约,070130,2015-06-09,3539.2,3415.8,3565.0,3385.0,558664,579340984320.0,5.12,-2.9,-102.0,0.0
IH主力合约,070130,2015-06-10,3399.0,3365.0,3445.8,3351.2,422773,430594777088.0,2.75,-2.05,-70.4,0.0
IH主力合约,070130,2015-06-11,3381.8,3361.0,3415.0,3326.6,394680,398282477568.0,2.6,-1.16,-39.4,0.0
IH主力合约,070130,2015-06-12,3373.2,3405.2,3408.0,3330.0,360426,364192321536.0,2.32,1.41,47.2,0.0
IH主力合约,070130,2015-06-15,3395.6,3263.8,3417.4,3246.6,398272,397367115776.0,5.07,-3.12,-105.0,0.0
