期货名称,期货代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
IM主力合约,150130,2024-10-18 09:35,5455.0,5472.2,5476.2,5430.0,7948,8674752624.0,0.84,-0.98,-54.4,0.0
IM主力合约,150130,2024-10-18 09:40,5473.4,5448.0,5480.0,5438.0,4420,4829528544.0,0.77,-0.44,-24.2,0.0
IM主力合约,150130,2024-10-18 09:45,5448.0,5488.8,5494.8,5446.0,4274,4681202032.0,0.9,0.75,40.8,0.0
IM主力合约,150130,2024-10-18 09:50,5489.6,5478.2,5493.0,5469.0,2719,2980304704.0,0.44,-0.19,-10.6,0.0
IM主力合约,150130,2024-10-18 09:55,5477.6,5493.6,5497.2,5470.2,2806,3079956144.0,0.49,0.28,15.4,0.0
IM主力合约,150130,2024-10-18 10:00,5493.6,5469.2,5494.4,5465.2,2227,2441476512.0,0.53,-0.44,-24.4,0.0
IM主力合约,150130,2024-10-18 10:05,5469.4,5495.0,5510.0,5466.4,4572,5025603264.0,0.8,0.47,25.8,0.0
IM主力合约,150130,2024-10-18 10:10,5494.8,5512.2,5515.0,5480.6,3955,4350099984.0,0.63,0.31,17.2,0.0
IM主力合约,150130,2024-10-18 10:15,5512.4,5487.8,5513.2,5481.6,2929,3218610944.0,0.57,-0.44,-24.4,0.0
IM主力合约,150130,2024-10-18 10:20,5488.8,5512.8,5522.0,5484.4,3136,3451981328.0,0.69,0.46,25.0,0.0
IM主力合约,150130,2024-10-18 10:25,5512.8,5524.0,5531.0,5504.8,2888,3187906848.0,0.48,0.2,11.2,0.0
IM主力合约,150130,2024-10-18 10:30,5524.0,5540.0,5540.0,5511.6,3159,3491396544.0,0.51,0.29,16.0,0.0
IM主力合约,150130,2024-10-18 10:35,5539.6,5585.6,5588.0,5525.4,5867,6518623264.0,1.13,0.82,45.6,0.0
IM主力合约,150130,2024-10-18 10:40,5585.8,5617.2,5620.0,5570.2,6958,7782067392.0,0.89,0.57,31.6,0.0
IM主力合约,150130,2024-10-18 10:45,5616.2,5592.0,5631.2,5591.0,6764,7594173504.0,0.72,-0.45,-25.2,0.0
IM主力合约,150130,2024-10-18 10:50,5592.0,5597.0,5625.8,5591.4,4832,5418445744.0,0.62,0.09,5.0,0.0
IM主力合约,150130,2024-10-18 10:55,5597.2,5565.6,5601.8,5556.2,5063,5645770784.0,0.81,-0.56,-31.4,0.0
IM主力合约,150130,2024-10-18 11:00,5565.4,5568.0,5583.8,5554.0,3599,4008868656.0,0.54,0.04,2.4,0.0
IM主力合约,150130,2024-10-18 11:05,5566.6,5574.0,5575.0,5548.4,2769,3080031824.0,0.48,0.11,6.0,0.0
IM主力合约,150130,2024-10-18 11:10,5574.0,5574.8,5586.8,5563.0,2695,3006065744.0,0.43,0.01,0.8,0.0
IM主力合约,150130,2024-10-18 11:15,5575.6,5566.0,5575.6,5551.2,2264,2518104656.0,0.44,-0.16,-8.8,0.0
IM主力合约,150130,2024-10-18 11:20,5566.2,5568.4,5577.8,5554.0,1874,2086020256.0,0.43,0.04,2.4,0.0
IM主力合约,150130,2024-10-18 11:25,5569.0,5563.0,5583.0,5560.0,1788,1992265456.0,0.41,-0.1,-5.4,0.0
IM主力合约,150130,2024-10-18 11:30,5561.4,5588.2,5588.2,5556.0,1771,1973689448.0,0.58,0.45,25.2,0.0
IM主力合约,150130,2024-10-18 13:05,5592.4,5661.4,5671.6,5592.4,8822,9955919632.0,1.42,1.31,73.2,0.0
IM主力合约,150130,2024-10-18 13:10,5662.6,5687.4,5688.4,5647.8,6061,6871188064.0,0.72,0.46,26.0,0.0
IM主力合约,150130,2024-10-18 13:15,5685.4,5725.0,5726.6,5676.0,5971,6807454032.0,0.89,0.66,37.6,0.0
IM主力合约,150130,2024-10-18 13:20,5726.2,5759.8,5792.4,5717.4,9128,10506138144.0,1.31,0.61,34.8,0.0
IM主力合约,150130,2024-10-18 13:25,5758.4,5715.0,5772.0,5713.4,6789,7794045488.0,1.02,-0.78,-44.8,0.0
IM主力合约,150130,2024-10-18 13:30,5713.0,5707.2,5727.2,5700.0,5511,6296230096.0,0.48,-0.14,-7.8,0.0
IM主力合约,150130,2024-10-18 13:35,5705.0,5704.4,5717.6,5680.0,5044,5746205984.0,0.66,-0.05,-2.8,0.0
IM主力合约,150130,2024-10-18 13:40,5705.8,5715.8,5739.8,5705.2,4262,4880154400.0,0.61,0.2,11.4,0.0
IM主力合约,150130,2024-10-18 13:45,5715.0,5722.2,5733.2,5702.8,3044,3479754368.0,0.53,0.11,6.4,0.0
IM主力合约,150130,2024-10-18 13:50,5723.8,5737.4,5752.0,5723.8,3652,4193517504.0,0.49,0.27,15.2,0.0
