期货名称,期货代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
IM主力合约,150130,2022-07-22,7050.0,6956.6,7085.2,6857.0,22153,30919133200.0,0.0,0.0,0.0,0.0
IM主力合约,150130,2022-07-25,6974.2,6878.6,7015.8,6850.0,22883,31699704760.0,2.39,-0.8,-55.6,0.0
IM主力合约,150130,2022-07-26,6898.0,6991.0,6994.0,6844.8,19269,26712005840.0,2.17,1.53,105.2,0.0
IM主力合约,150130,2022-07-27,6982.0,7066.2,7074.4,6965.2,19290,27113992760.0,1.57,1.46,101.8,0.0
IM主力合约,150130,2022-07-28,7110.0,7119.0,7171.4,7072.4,22464,31993809920.0,1.4,0.84,59.6,0.0
IM主力合约,150130,2022-07-29,7130.0,7087.0,7152.0,7068.0,25025,35560145120.0,1.18,-0.36,-25.4,0.0
IM主力合约,150130,2022-08-01,7070.2,7136.6,7141.0,7004.4,22084,31309930200.0,1.93,0.65,46.4,0.0
IM主力合约,150130,2022-08-02,7070.0,6948.2,7075.0,6820.4,37753,52450615920.0,3.57,-2.55,-181.8,0.0
IM主力合约,150130,2022-08-03,6990.0,6882.8,7062.0,6860.8,32325,45204820600.0,2.88,-1.33,-92.6,0.0
IM主力合约,150130,2022-08-04,6933.0,6890.8,6942.8,6778.2,35394,48615528480.0,2.38,-0.34,-23.8,0.0
IM主力合约,150130,2022-08-05,6903.4,7080.0,7080.8,6903.4,31492,43993596160.0,2.58,3.03,208.0,0.0
IM主力合约,150130,2022-08-08,7060.0,7132.2,7145.0,7039.6,20853,29596277000.0,1.49,1.15,80.8,0.0
IM主力合约,150130,2022-08-09,7120.0,7160.6,7164.8,7084.4,18871,26903698280.0,1.13,0.42,30.0,0.0
IM主力合约,150130,2022-08-10,7138.0,7168.4,7202.0,7130.0,21848,31324244560.0,1.01,0.2,14.0,0.0
IM主力合约,150130,2022-08-11,7201.4,7284.8,7287.6,7179.6,22671,32833462040.0,1.51,1.77,126.6,0.0
IM主力合约,150130,2022-08-12,7275.0,7222.4,7306.0,7205.4,19678,28577350400.0,1.38,-0.77,-56.2,0.0
IM主力合约,150130,2022-08-15,7210.0,7266.0,7297.6,7206.0,20698,30046053080.0,1.27,0.51,37.2,0.0
IM主力合约,150130,2022-08-16,7275.0,7311.0,7361.4,7257.2,21099,30856338920.0,1.43,0.67,48.6,0.0
IM主力合约,150130,2022-08-17,7317.0,7327.6,7346.4,7263.8,18274,26712226440.0,1.13,0.3,22.0,0.0
IM主力合约,150130,2022-08-18,7320.0,7358.8,7370.4,7303.0,14405,21120734240.0,0.92,0.45,33.0,0.0
IM主力合约,150130,2022-08-19,7319.0,7186.4,7337.0,7183.2,31515,45715101680.0,2.09,-2.25,-165.6,0.0
IM主力合约,150130,2022-08-22,7179.8,7232.4,7252.8,7119.4,27615,39756292400.0,1.85,0.41,29.2,0.0
IM主力合约,150130,2022-08-23,7224.0,7253.6,7259.8,7208.6,25221,36499230200.0,0.71,0.2,14.2,0.0
IM主力合约,150130,2022-08-24,7263.0,6969.8,7277.0,6951.4,43723,61845527520.0,4.5,-3.75,-271.2,0.0
IM主力合约,150130,2022-08-25,6995.0,6940.4,6999.0,6865.0,40047,55498285200.0,1.92,-0.53,-37.2,0.0
