期货代码,期货名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
jd2412,鸡蛋2412,5.99,4319.0,4319.0,4112.0,4118.0,244.0,-,1.47,-,4632,195948220.0,4098.0,-,-,114.jd2412,大商所,2024-11-29 21:00:00,2024-11-29
bbs,胶合板次主连,4.85,153.55,153.75,142.25,153.75,7.1,-,-,-,3,224775.0,146.45,-,-,114.bbs,大商所,2024-11-29 21:00:00,2024-11-29
bb2504,胶合板2504,4.85,153.55,153.75,142.25,153.75,7.1,-,-,-,3,224775.0,146.45,-,-,114.bb2504,大商所,2024-11-29 21:00:00,2024-11-29
br2412,丁二烯胶2412,3.6,13665.0,13665.0,13370.0,13405.0,475.0,-,0.03,-,22,1490250.0,13315.0,-,-,113.br2412,上期所,2024-11-29 23:00:00,2024-11-29
sim,工业硅主连,3.55,12405.0,12470.0,11890.0,11960.0,425.0,-,1.21,-,363408,22211325900.0,11915.0,-,-,225.sim,广期所,2024-11-29 15:00:28,2024-11-29
si2501,工业硅2501,3.55,12405.0,12470.0,11890.0,11960.0,425.0,-,1.21,-,363408,22211325900.0,11915.0,-,-,225.si2501,广期所,2024-11-29 15:00:28,2024-11-29
sis,工业硅次主连,3.5,12415.0,12470.0,11925.0,11980.0,420.0,-,1.18,-,84459,5170743300.0,11945.0,-,-,225.sis,广期所,2024-11-29 15:00:28,2024-11-29
si2502,工业硅2502,3.5,12415.0,12470.0,11925.0,11980.0,420.0,-,1.18,-,84459,5170743300.0,11945.0,-,-,225.si2502,广期所,2024-11-29 15:00:28,2024-11-29
bu2412,沥青2412,3.5,3638.0,3655.0,3568.0,3571.0,123.0,-,0.87,-,2201,79672350.0,3556.0,-,-,113.bu2412,上期所,2024-11-29 23:00:00,2024-11-29
bum,沥青主连,3.4,3591.0,3598.0,3509.0,3515.0,118.0,-,2.51,-,168106,5995046490.0,3512.0,-,-,113.bum,上期所,2024-11-29 23:00:00,2024-11-29
